datetime_utc,respondent,demand_mwh
2019-01-29T11,PJM,101926.0
2019-01-29T12,PJM,109663.0
2019-01-29T13,PJM,114480.0
2019-01-29T14,PJM,114297.0
2019-01-29T15,PJM,113725.0
2019-01-29T16,PJM,113165.0
2019-01-29T17,PJM,112286.0
2019-01-29T18,PJM,111612.0
2019-01-29T19,PJM,111494.0
2019-01-29T20,PJM,111136.0
2019-01-29T21,PJM,111320.0
2019-01-29T22,PJM,112954.0
2019-01-29T23,PJM,116846.0
2019-01-30T00,PJM,119897.0
2019-01-30T01,PJM,119089.0
2019-01-30T02,PJM,117369.0
2019-01-30T03,PJM,114772.0
2019-01-30T04,PJM,110670.0
2019-01-30T05,PJM,106898.0
2019-01-30T06,PJM,105562.0
2019-01-30T07,PJM,105423.0
2019-01-30T08,PJM,105448.0
2019-01-30T09,PJM,106065.0
2019-01-30T10,PJM,108611.0
2019-01-30T11,PJM,113427.0
2019-01-30T12,PJM,120790.0
2019-01-30T13,PJM,125570.0
2019-01-30T14,PJM,125134.0
2019-01-30T15,PJM,122724.0
2019-01-30T16,PJM,121268.0
2019-01-30T17,PJM,119747.0
2019-01-30T18,PJM,119122.0
2019-01-30T19,PJM,119316.0
2019-01-30T20,PJM,120069.0
2019-01-30T21,PJM,120932.0
2019-01-30T22,PJM,123209.0
2019-01-30T23,PJM,129978.0
2019-01-31T00,PJM,135954.0
2019-01-31T01,PJM,136643.0
2019-01-31T02,PJM,135782.0
2019-01-31T03,PJM,133264.0
2019-01-31T04,PJM,129520.0
2019-01-31T05,PJM,126451.0
2019-01-31T06,PJM,124718.0
2019-01-31T07,PJM,123898.0
2019-01-31T08,PJM,123479.0
2019-01-31T09,PJM,123247.0
2019-01-31T10,PJM,124767.0
2019-01-31T11,PJM,128697.0
2019-01-31T12,PJM,134966.0
2019-01-31T13,PJM,138963.0
2019-01-31T14,PJM,137509.0
2019-01-31T15,PJM,134009.0
2019-01-31T16,PJM,130407.0
2019-01-31T17,PJM,127205.0
2019-01-31T18,PJM,124812.0
2019-01-31T19,PJM,122656.0
2019-01-31T20,PJM,121426.0
2019-01-31T21,PJM,121130.0
2019-01-31T22,PJM,122810.0
2019-01-31T23,PJM,127895.0
2019-02-01T00,PJM,132304.0
2019-02-01T01,PJM,132396.0
2019-02-01T02,PJM,131131.0
2019-02-01T03,PJM,127865.0
2019-02-01T04,PJM,122853.0
2019-02-01T05,PJM,118763.0
2019-02-01T06,PJM,116224.0
2019-02-01T07,PJM,115028.0
2019-02-01T08,PJM,114033.0
2019-02-01T09,PJM,113173.0
2019-02-01T10,PJM,113810.0
2019-02-01T11,PJM,117674.0
2019-02-01T12,PJM,123961.0
2019-02-01T13,PJM,127617.0
2019-02-01T14,PJM,127406.0
2019-02-01T15,PJM,126860.0
2019-02-01T16,PJM,125533.0
2019-02-01T17,PJM,123204.0
2019-02-01T18,PJM,121231.0
2019-02-01T19,PJM,119357.0
2019-02-01T20,PJM,118258.0
2019-02-01T21,PJM,117242.0
2019-02-01T22,PJM,116912.0
2019-02-01T23,PJM,119894.0
2019-02-02T00,PJM,122158.0
2019-02-02T01,PJM,121394.0
2019-02-02T02,PJM,119673.0
